distancia,velocidade_relativa,permissao,pista,visibilidade,target
116.13,161.56,0.65,0.92,0.33,0
250.15,194.27,0.37,0.13,0.18,0
303.22,54.31,0.46,0.32,0.62,0
478.74,240.66,0.2,0.78,0.69,0
448.04,168.38,0.65,0.53,0.19,0
28.91,242.54,0.09,0.41,0.97,0
474.46,93.45,0.01,0.4,0.25,0
281.77,95.44,0.7,0.83,0.27,0
474.05,189.66,0.3,0.42,0.26,0
362.98,99.07,0.49,0.26,0.86,0
77.9,171.18,0.63,0.08,0.34,0
140.59,17.82,0.83,0.7,0.25,0
415.06,87.95,0.64,0.01,0.33,0
372.76,129.99,0.79,0.81,0.6,1
93.51,9.41,1.0,0.39,0.42,0
55.87,33.5,0.21,0.06,0.52,0
47.86,99.88,0.72,0.53,0.13,0
216.93,143.65,0.55,0.3,0.64,0
245.69,237.47,0.96,0.77,0.01,0
439.12,4.19,0.39,0.39,0.27,0
187.43,213.69,0.18,0.41,0.92,0
454.63,185.3,0.59,0.33,0.04,0
220.01,132.34,0.13,0.78,0.39,0
267.8,234.34,0.04,0.35,0.17,0
85.33,122.37,0.07,0.43,0.08,0
91.17,220.12,0.73,0.23,0.19,0
330.01,97.45,0.75,0.89,0.51,1
30.32,86.01,0.93,0.81,0.31,0
420.59,131.95,0.48,0.67,0.12,0
188.64,228.44,0.08,0.96,0.89,0
218.23,26.36,0.9,0.96,0.46,0
443.17,122.94,0.75,0.42,0.59,0
125.89,170.26,0.55,0.25,0.82,0
34.11,22.84,0.56,0.5,0.24,0
128.37,184.44,0.94,0.05,0.9,0
423.17,148.69,0.48,0.46,0.3,0
214.01,244.57,0.72,0.29,0.63,0
220.64,231.42,0.58,0.22,0.8,0
215.77,217.8,0.28,0.98,0.48,0
217.21,174.29,0.55,0.13,0.37,0
172.43,93.89,0.53,0.82,0.25,0
179.66,63.09,0.94,0.75,0.45,0
221.02,150.38,0.47,0.77,0.27,0
216.91,158.13,0.35,0.78,0.63,0
253.34,212.0,0.9,0.14,0.89,0
268.3,216.36,0.82,0.39,0.14,0
348.66,168.86,0.29,0.77,0.97,0
278.97,196.61,0.13,0.52,0.78,0
265.39,205.11,0.57,0.81,0.02,0
316.37,29.6,0.44,0.83,0.79,0
82.84,99.93,0.58,0.07,0.3,0
4.37,160.89,0.58,0.0,0.9,0
175.26,69.97,0.81,0.82,0.91,0
14.29,57.68,0.91,0.59,0.01,0
95.64,101.99,0.04,0.39,0.99,0
299.01,35.46,0.4,0.71,0.29,0
180.22,11.31,0.83,0.03,0.97,0
366.32,147.52,0.27,0.07,0.42,0
315.47,15.42,0.52,0.8,0.74,0
224.63,16.6,0.99,0.9,0.35,0
322.92,155.13,0.78,0.85,0.11,0
331.59,3.13,0.72,0.88,0.94,0
65.41,18.43,0.82,0.9,1.0,0
16.93,140.08,0.96,0.51,0.72,0
16.21,104.66,0.48,0.35,0.4,0
61.67,61.33,0.29,0.8,0.26,0
459.87,69.32,0.22,0.87,0.47,0
420.83,104.14,0.17,1.0,0.87,0
451.35,207.65,0.33,0.2,0.44,0
113.26,42.63,0.28,0.13,0.29,0
435.83,101.02,0.02,0.18,0.5,0
482.33,213.8,0.42,0.46,0.84,0
213.42,217.67,0.95,0.18,0.49,0
244.59,159.04,0.1,0.69,0.79,0
404.45,65.83,0.55,0.33,0.2,0
209.78,120.65,0.94,0.46,0.06,0
286.24,117.26,0.6,0.37,0.93,0
451.0,201.18,0.84,0.27,0.66,0
171.58,238.3,0.44,0.62,0.57,0
38.62,42.39,0.45,0.18,0.21,0
31.21,45.12,0.29,0.73,0.54,0
278.97,203.62,0.28,0.93,0.31,0
490.18,178.85,0.41,0.59,0.39,0
296.52,99.9,0.58,0.2,0.03,0
498.08,135.56,0.71,0.17,0.44,0
357.62,43.85,0.74,0.26,0.71,0
167.4,157.44,0.78,0.29,0.15,0
250.36,206.18,0.41,0.17,0.05,0
130.44,240.96,0.36,0.36,0.88,0
182.48,91.46,0.99,0.33,0.27,0
215.34,3.42,0.73,0.59,0.18,0
156.7,124.59,0.88,0.89,0.71,1
185.35,106.83,0.52,0.98,0.24,0
320.33,24.96,0.26,0.12,0.07,0
195.35,175.1,0.9,0.27,0.97,0
167.29,171.09,0.54,0.38,0.43,0
340.43,35.17,0.65,0.08,0.24,0
205.1,140.76,0.7,0.96,0.34,0
382.73,165.63,0.46,0.98,0.14,0
462.31,240.06,0.32,0.93,0.52,0
279.29,233.32,0.91,0.69,0.75,1
44.34,119.9,0.48,0.37,0.42,0
228.0,61.01,0.92,0.9,0.89,0
303.77,130.37,0.2,0.53,0.36,0
29.1,16.64,0.07,0.54,0.91,0
151.72,105.19,0.34,0.4,0.36,0
363.49,97.6,0.63,0.54,0.24,0
175.53,114.9,0.17,0.83,0.66,0
249.11,76.98,0.94,0.51,0.91,0
141.31,98.25,0.8,0.72,0.83,1
415.92,129.17,0.08,0.34,0.42,0
53.64,152.48,0.28,0.58,0.86,0
228.65,112.3,0.61,0.63,0.61,1
393.94,94.15,0.81,0.11,0.12,0
341.28,163.15,0.59,0.73,0.51,1
288.08,224.58,0.75,0.81,0.65,1
143.49,219.85,0.78,0.31,0.35,0
283.84,50.08,1.0,0.41,0.73,0
112.8,144.64,0.17,0.68,0.21,0
488.61,114.88,0.89,0.62,0.1,0
82.94,144.57,0.33,0.49,0.27,0
329.5,181.38,0.91,1.0,0.09,0
319.18,216.97,0.72,0.08,0.55,0
418.62,35.45,0.5,0.43,0.28,0
149.04,190.78,0.85,0.47,0.84,0
135.57,70.01,0.09,0.84,0.35,0
74.06,248.34,0.16,0.49,0.33,0
134.74,215.85,0.16,0.4,0.22,0
294.65,70.12,0.11,0.91,0.66,0
197.77,139.7,0.89,0.48,0.9,0
114.7,170.72,0.02,0.85,0.1,0
173.7,33.05,0.76,0.48,0.86,0
303.5,110.22,0.98,0.09,0.82,0
319.3,81.03,0.28,0.37,0.72,0
75.62,188.79,0.69,0.74,0.53,0
318.65,49.18,0.25,0.19,0.06,0
361.78,87.35,0.53,0.32,0.21,0
294.12,105.14,0.23,0.56,0.82,0
237.78,203.21,0.88,0.97,0.92,1
338.65,65.84,0.86,0.02,0.21,0
100.63,113.28,0.5,0.28,0.34,0
443.2,114.82,0.33,0.06,0.12,0
364.99,189.0,0.44,0.02,0.86,0
410.75,213.2,0.98,0.21,0.72,0
49.33,33.54,0.74,0.68,0.86,0
335.07,33.07,0.98,0.38,0.74,0
171.67,135.95,0.93,0.25,0.09,0
232.94,91.48,0.61,0.59,0.07,0
300.01,138.69,0.21,0.37,0.88,0
131.49,113.01,0.24,0.15,0.41,0
322.3,127.5,0.42,0.81,0.39,0
297.86,45.75,0.65,0.47,0.1,0
200.93,17.88,0.36,0.67,0.37,0
53.99,27.23,0.34,0.28,0.49,0
499.55,176.59,0.46,0.67,0.79,0
229.44,86.17,0.94,0.1,0.36,0
52.96,165.3,0.16,0.48,0.48,0
114.05,96.16,0.07,0.75,0.88,0
198.68,225.67,0.61,0.52,0.39,0
238.71,99.87,0.93,0.68,0.73,1
137.5,119.8,0.63,0.32,0.32,0
449.18,36.91,0.25,0.75,0.06,0
463.85,150.47,0.44,0.0,0.17,0
126.04,5.17,0.36,0.19,0.54,0
336.25,207.36,0.6,0.17,0.62,0
101.97,229.88,0.17,0.44,0.84,0
218.79,248.05,0.57,0.21,0.69,0
