distance,relative_speed,permission,road,visibility,target
24.47,2.55,0.72,0.42,0.35,0
33.77,24.54,0.52,0.51,0.95,0
26.52,33.7,0.68,0.22,0.6,0
1.58,33.92,0.29,0.81,0.11,0
18.31,6.18,0.51,0.55,0.77,0
39.84,18.3,0.71,0.06,0.01,0
34.77,15.11,0.63,0.24,0.64,0
26.97,43.49,0.05,0.83,0.37,0
1.52,18.56,0.73,0.6,0.12,0
23.43,35.17,0.61,0.27,0.85,0
46.57,4.88,0.6,0.12,0.39,0
31.12,53.9,0.23,0.91,0.53,0
27.57,43.12,0.23,0.24,0.99,0
44.98,49.94,0.92,0.96,0.11,0
27.48,45.3,0.9,0.0,0.05,0
4.3,13.45,0.9,0.92,0.09,0
12.22,8.11,0.97,0.21,0.69,0
27.32,16.92,0.48,0.87,0.83,0
20.61,36.0,0.69,0.85,0.74,1
32.35,54.01,0.42,0.55,0.42,0
16.73,34.69,0.44,0.93,0.73,0
15.15,31.25,0.9,0.14,0.39,0
11.87,14.18,0.35,0.44,0.53,0
24.57,24.1,0.91,0.81,0.04,0
30.81,55.91,0.57,0.97,0.07,0
10.81,36.24,0.49,0.62,0.86,0
27.7,49.09,0.52,0.39,0.21,0
18.86,30.29,0.24,0.41,0.38,0
39.74,1.62,0.54,0.53,0.95,0
29.33,24.86,0.45,0.79,0.23,0
19.09,30.05,0.05,0.19,0.02,0
26.34,34.44,0.69,0.64,0.41,0
36.4,4.13,0.64,0.72,0.72,0
15.6,12.04,0.47,0.48,0.19,0
27.82,4.43,0.58,0.79,0.59,0
43.57,43.16,0.83,0.96,0.51,1
20.14,19.69,0.63,0.8,0.34,0
2.5,33.24,0.01,0.56,0.33,0
43.95,4.03,0.92,0.67,0.41,0
4.5,54.1,0.26,0.63,0.75,0
30.47,50.65,0.75,0.75,0.66,1
10.61,3.53,0.75,0.39,0.27,0
45.01,47.85,0.51,0.74,0.23,0
30.11,43.27,0.41,0.45,0.92,0
8.04,45.04,0.44,0.4,0.0,0
46.39,26.06,0.93,0.78,0.49,0
13.05,19.51,0.94,0.7,0.27,0
39.52,10.26,0.58,0.9,0.62,0
21.25,18.14,0.16,0.26,0.75,0
38.5,16.24,0.31,0.33,0.16,0
30.2,3.46,0.55,0.3,0.79,0
44.87,22.9,0.21,0.78,0.12,0
10.44,54.18,0.99,0.54,0.94,1
29.74,3.91,0.96,0.65,0.0,0
39.5,15.11,0.2,0.05,0.25,0
23.09,38.25,0.97,0.89,0.23,0
33.56,32.94,0.85,0.42,0.03,0
43.58,13.33,0.39,0.45,0.57,0
39.0,38.67,0.84,0.15,0.17,0
35.25,8.36,0.97,0.86,0.39,0
28.91,54.79,0.01,0.77,0.41,0
31.76,45.73,0.15,0.28,0.26,0
14.09,32.66,0.85,0.41,0.04,0
28.14,43.75,0.76,0.26,0.99,0
38.3,46.35,0.26,0.5,0.93,0
43.23,14.59,0.68,0.59,0.35,0
32.77,26.72,0.98,0.92,0.51,0
26.91,40.0,0.86,0.47,0.68,0
29.02,50.83,0.83,0.5,0.76,0
12.53,44.49,0.7,0.77,0.47,0
46.97,30.51,0.58,0.88,0.71,0
19.99,34.67,0.56,0.35,0.55,0
7.78,10.21,0.56,0.76,0.44,0
25.41,15.92,0.6,0.03,0.7,0
31.59,28.83,0.07,0.78,0.28,0
17.36,54.62,0.56,0.22,0.37,0
7.54,14.32,0.21,0.67,0.38,0
31.96,3.61,0.94,0.74,0.08,0
24.88,9.74,0.99,0.86,0.64,0
3.74,28.38,0.31,0.35,0.32,0
45.61,2.52,0.57,0.24,0.17,0
44.54,35.77,0.67,0.07,0.88,0
3.1,45.58,0.72,0.13,0.73,0
44.3,15.04,1.0,0.29,0.24,0
47.17,39.54,0.57,0.99,0.32,0
47.34,41.19,0.71,0.04,0.34,0
45.03,35.15,0.56,0.31,0.1,0
33.75,46.88,0.74,0.34,0.02,0
17.43,26.24,0.38,0.74,0.58,0
23.28,27.52,0.59,0.3,0.21,0
6.53,37.28,0.96,0.21,0.62,0
38.61,43.92,0.98,0.66,0.27,0
27.05,48.72,0.19,0.9,0.54,0
16.48,36.52,0.15,0.04,0.56,0
40.8,11.54,0.09,0.98,0.27,0
47.59,24.04,0.97,0.12,0.79,0
36.74,8.64,0.81,0.82,0.03,0
9.91,4.03,0.23,0.66,0.97,0
3.79,38.0,0.43,0.89,0.06,0
9.23,18.25,0.71,0.23,0.68,0
5.68,29.91,0.02,0.59,0.27,0
27.03,23.22,0.57,0.0,0.26,0
36.78,50.27,0.72,0.18,0.28,0
2.0,50.4,0.74,0.58,0.66,1
40.46,52.06,0.92,0.24,0.94,0
44.73,42.83,0.02,0.54,0.86,0
35.1,10.49,0.47,0.85,0.99,0
29.32,48.61,0.08,0.17,0.89,0
23.01,22.94,0.24,0.25,0.98,0
14.26,1.34,0.25,0.02,0.0,0
35.05,12.77,0.99,0.28,0.24,0
13.82,40.42,0.48,0.21,0.66,0
26.55,47.16,0.67,0.68,0.48,0
17.64,21.84,0.89,0.67,0.25,0
41.7,41.01,0.97,0.55,0.9,1
40.97,10.26,0.98,0.58,0.15,0
48.8,40.21,0.03,0.36,0.51,0
39.86,34.5,0.11,0.34,0.32,0
24.82,45.22,0.31,0.11,0.43,0
15.64,12.62,0.62,0.55,0.92,0
10.79,8.71,0.92,0.84,0.22,0
9.16,15.46,0.02,0.78,0.21,0
40.28,18.12,0.3,0.56,0.03,0
47.02,21.39,0.14,0.23,0.23,0
34.61,41.2,0.8,0.94,0.2,0
29.44,7.58,0.56,0.59,0.09,0
21.72,28.18,0.01,0.09,0.34,0
2.53,17.53,0.22,0.63,0.07,0
9.27,1.32,0.79,0.94,0.82,0
17.94,32.16,0.81,0.92,0.79,1
36.38,7.4,0.32,0.68,0.28,0
45.47,26.63,0.32,0.62,0.45,0
4.43,20.5,0.86,0.78,0.23,0
7.32,45.55,0.02,0.05,0.72,0
43.67,50.55,0.16,0.79,0.1,0
5.0,41.55,0.07,0.75,0.83,0
14.67,9.38,0.55,0.46,0.21,0
7.01,10.42,0.2,0.49,0.47,0
47.72,54.74,0.26,0.16,0.97,0
35.7,3.68,0.46,0.9,0.14,0
24.16,21.76,0.97,0.73,0.87,1
47.01,8.22,0.42,1.0,0.69,0
33.02,41.04,0.02,0.85,0.4,0
13.48,30.8,0.57,0.65,0.43,0
23.48,20.33,0.86,0.28,0.74,0
42.67,21.28,0.14,0.22,0.17,0
40.71,13.8,0.5,0.14,0.86,0
7.98,47.75,0.78,0.48,0.47,0
14.03,12.18,0.16,0.76,0.65,0
31.78,8.63,0.55,0.85,0.17,0
3.46,54.68,0.8,0.9,0.37,0
47.75,15.07,0.72,0.24,0.26,0
21.53,47.42,0.93,0.57,0.08,0
11.56,32.8,0.46,0.88,0.22,0
10.34,31.06,0.26,0.33,1.0,0
9.25,8.86,0.84,0.24,0.51,0
38.68,36.06,0.14,0.78,0.96,0
19.26,7.31,0.64,0.87,0.63,0
24.18,40.11,0.69,0.27,0.04,0
30.15,51.8,0.55,0.35,0.73,0
33.1,37.13,0.82,0.1,0.58,0
19.44,36.55,0.26,0.85,0.57,0
18.92,14.22,0.39,0.26,0.57,0
42.36,39.1,0.07,0.31,0.9,0
44.23,42.93,0.4,0.79,0.86,0
47.29,28.05,0.62,0.89,0.69,0
12.35,32.26,0.61,0.57,0.42,0
18.05,21.63,0.45,0.09,0.72,0
20.11,35.46,0.79,0.16,0.07,0
30.77,27.68,0.13,0.21,0.36,0
7.55,4.12,0.1,0.16,0.57,0
43.46,14.89,0.87,0.53,0.83,0
6.51,53.65,0.89,0.53,0.7,1
4.72,49.72,0.99,0.68,0.25,0
31.67,29.0,0.65,0.48,0.22,0
3.93,52.74,0.91,0.47,0.52,0
6.12,16.13,0.83,0.87,0.39,0
10.61,19.51,0.81,0.25,0.8,0
32.33,7.28,0.3,0.61,0.43,0
45.99,26.28,0.8,0.57,0.21,0
40.02,3.71,0.97,0.39,0.62,0
35.63,45.55,0.9,0.33,0.99,0
18.32,54.32,0.98,0.32,0.35,0
16.18,41.29,0.43,0.68,0.83,0
11.81,50.02,0.55,0.62,0.95,1
49.04,6.57,0.45,0.1,0.16,0
28.27,27.53,0.09,0.5,0.09,0
20.49,15.75,0.52,0.82,0.81,1
25.19,11.4,0.96,0.31,0.73,0
1.45,17.73,0.02,0.31,0.78,0
19.89,47.25,0.73,0.7,0.79,1
19.76,5.9,0.23,0.74,0.79,0
21.13,55.38,0.85,0.65,0.23,0
37.65,27.42,0.65,0.49,0.25,0
32.11,31.21,0.96,0.28,0.92,0
48.29,4.34,0.58,0.64,0.17,0
29.63,18.25,0.1,1.0,0.27,0
47.89,34.89,0.64,0.46,0.4,0
2.81,29.92,0.82,0.71,0.37,0
32.64,16.2,0.02,0.42,0.52,0
45.65,40.0,0.26,0.79,0.79,0
8.46,7.94,0.41,0.47,0.0,0
8.31,42.54,0.22,0.4,0.3,0
37.0,38.45,0.06,0.54,0.87,0
41.9,50.13,0.05,0.46,0.19,0
49.4,49.82,0.66,0.16,0.52,0
13.59,42.36,0.41,0.45,0.74,0
27.8,12.06,0.3,0.44,0.14,0
32.27,16.24,0.68,0.07,0.45,0
4.47,13.73,0.11,0.83,0.99,0
20.07,39.03,0.93,0.16,0.66,0
2.5,27.74,0.74,0.25,0.31,0
18.91,16.6,0.62,0.35,0.35,0
36.97,39.73,0.06,0.17,0.21,0
33.65,41.16,0.91,0.58,0.13,0
1.01,40.45,0.27,0.5,0.25,0
21.4,41.53,0.22,0.65,0.96,0
44.88,39.81,0.31,0.73,0.23,0
12.11,1.44,0.35,0.24,0.83,0
2.28,33.43,0.02,0.16,0.2,0
1.17,30.08,0.48,0.22,0.69,0
35.6,47.75,0.69,0.29,0.25,0
10.94,2.26,0.08,0.94,0.11,0
27.19,48.08,0.91,0.18,0.68,0
6.41,55.08,0.29,0.12,0.78,0
3.69,12.63,0.81,0.16,0.82,0
34.46,54.86,0.48,0.71,0.63,0
44.67,31.28,0.78,0.42,0.97,0
32.26,34.1,0.24,0.41,0.48,0
7.32,33.68,0.42,0.12,0.08,0
48.09,1.14,0.32,0.78,0.22,0
13.67,50.66,0.97,0.61,0.23,0
28.77,31.31,0.48,0.08,0.1,0
4.73,33.64,0.33,0.99,0.55,0
22.96,23.12,0.76,0.5,0.46,0
48.79,54.4,0.99,0.59,0.24,0
15.06,3.93,0.24,0.49,0.45,0
39.45,49.01,0.24,0.68,0.73,0
46.8,41.41,0.37,0.23,0.85,0
42.21,21.97,0.42,0.63,0.24,0
16.39,20.61,0.68,0.01,0.55,0
3.4,32.95,0.31,0.71,0.02,0
43.74,52.01,0.52,0.32,0.31,0
31.36,40.55,0.3,0.6,0.8,0
13.05,53.75,0.85,0.75,0.65,1
29.33,28.51,0.64,0.57,0.78,1
16.26,47.37,0.79,0.04,0.03,0
16.13,14.02,0.3,0.09,0.48,0
1.74,36.93,0.0,0.68,0.76,0
15.61,11.1,0.36,0.87,0.4,0
18.18,38.84,0.4,0.34,0.78,0
22.66,23.25,0.88,0.08,0.84,0
27.51,4.33,0.69,0.14,0.75,0
27.6,27.79,0.19,0.91,0.74,0
46.15,30.54,0.08,0.47,0.57,0
34.52,6.47,0.34,0.9,0.0,0
1.05,37.77,0.44,0.05,0.65,0
41.68,39.81,0.52,0.97,0.24,0
19.27,17.08,0.28,0.94,0.73,0
28.24,52.09,0.12,0.86,0.48,0
23.05,6.08,0.43,0.36,0.78,0
27.62,31.38,0.36,0.97,0.66,0
21.04,32.38,0.61,0.11,0.92,0
1.72,40.73,0.72,0.18,0.21,0
27.49,29.6,0.36,0.66,0.95,0
27.66,33.94,0.28,0.16,0.02,0
35.71,55.53,0.88,0.36,0.07,0
11.76,43.51,0.17,0.05,0.64,0
3.89,48.98,0.77,0.37,0.36,0
45.46,19.05,0.7,0.52,0.24,0
48.67,37.83,0.78,0.33,0.19,0
36.88,53.15,0.1,0.55,0.24,0
2.94,12.62,0.88,0.35,0.62,0
29.19,18.39,0.3,0.86,0.83,0
22.67,2.39,0.21,0.82,0.62,0
25.9,9.54,0.21,0.83,0.32,0
25.23,5.85,0.76,0.78,0.76,0
27.8,21.63,0.15,0.4,0.17,0
20.65,55.73,0.82,0.87,0.74,0
43.98,51.88,0.89,0.62,0.37,0
46.68,41.49,0.36,0.2,0.88,0
9.64,23.45,0.06,0.24,0.28,0
43.25,5.84,0.28,0.19,0.14,0
4.15,6.41,0.27,0.43,0.03,0
37.86,38.56,0.81,0.88,0.29,0
22.44,20.19,0.86,0.51,0.63,1
1.99,27.69,0.04,0.18,0.24,0
29.01,8.68,0.54,0.54,0.6,0
5.51,28.28,0.34,0.15,0.97,0
20.21,41.3,0.79,0.68,0.72,0
22.65,55.52,0.7,0.11,0.52,0
48.15,21.21,0.87,0.84,0.49,0
22.98,41.08,0.55,0.1,0.01,0
26.49,50.95,0.3,0.35,0.31,0
32.58,26.92,0.94,0.33,0.12,0
22.73,53.35,0.2,0.37,0.15,0
16.01,14.86,0.1,0.12,0.76,0
14.32,31.93,0.76,0.03,0.44,0
14.46,44.6,0.88,0.17,0.17,0
42.9,4.43,0.71,0.36,0.37,0
32.08,23.9,0.82,0.84,0.92,0
46.01,21.93,0.66,0.04,0.3,0
43.16,18.98,0.24,0.19,0.69,0
24.98,37.44,0.49,0.59,0.46,0
21.93,30.07,0.15,0.31,0.15,0
17.13,18.41,0.98,0.27,0.98,0
45.45,48.29,0.35,0.07,0.4,0
24.9,29.72,0.76,0.95,0.53,1
21.67,48.14,0.17,0.17,0.97,0
20.54,27.58,0.41,0.62,0.62,0
23.08,42.0,0.92,0.37,0.7,0
25.84,50.0,0.01,0.07,0.8,0
5.22,1.56,0.12,0.68,0.72,0
38.36,17.43,0.48,0.67,0.98,0
4.6,28.63,0.44,0.75,0.31,0
44.61,4.48,0.99,0.51,0.33,0
13.71,7.52,0.16,0.09,0.42,0
36.14,37.0,0.5,0.95,0.81,0
7.16,21.15,0.21,0.93,0.06,0
5.48,28.48,0.05,0.64,0.06,0
31.06,43.53,0.05,0.81,0.96,0
16.71,25.87,0.18,0.06,0.24,0
2.23,22.93,0.85,0.42,0.15,0
20.11,9.53,0.92,0.12,0.41,0
11.75,7.11,0.13,0.39,0.38,0
24.51,54.62,0.32,0.75,0.4,0
46.03,18.92,0.95,0.24,0.81,0
49.44,30.91,0.22,0.53,0.91,0
36.0,34.25,0.71,0.33,0.91,0
1.77,26.65,0.89,0.3,0.66,0
45.94,24.16,0.87,0.62,0.49,0
39.82,3.61,0.85,0.69,0.28,0
44.9,44.97,0.86,0.73,0.73,1
44.42,31.85,0.07,0.98,0.57,0
3.32,54.2,0.3,0.96,1.0,0
15.71,30.89,0.06,0.88,0.65,0
49.23,26.84,0.29,0.16,0.26,0
21.09,11.08,0.58,0.88,0.83,0
35.37,14.03,0.48,0.03,0.89,0
48.4,55.35,0.21,0.31,0.56,0
45.2,20.23,0.14,0.24,0.35,0
35.03,21.84,0.06,0.77,0.65,0
49.45,8.5,0.3,0.11,0.51,0
2.34,47.35,0.02,0.54,0.33,0
44.23,37.17,0.54,0.26,0.63,0
16.56,43.71,0.56,0.11,0.23,0
46.57,27.85,0.56,0.85,0.23,0
26.41,37.29,0.15,0.49,0.99,0
2.48,40.4,0.71,0.13,0.2,0
31.31,11.95,0.47,0.05,0.05,0
32.29,11.65,0.97,0.52,0.36,0
13.62,15.25,0.03,0.5,0.91,0
30.39,39.77,0.89,0.7,0.76,0
30.77,14.77,0.47,0.78,0.85,0
21.94,37.48,0.64,0.19,0.51,0
37.43,30.09,0.26,0.9,0.08,0
21.58,49.01,0.25,0.83,0.29,0
37.48,3.67,0.12,0.98,0.71,0
26.16,7.21,0.79,0.0,0.98,0
5.35,49.99,0.41,0.92,0.82,0
22.94,39.98,0.42,0.57,0.37,0
29.79,23.34,0.41,0.79,0.38,0
32.41,24.07,0.95,0.46,0.78,0
8.09,49.44,0.1,0.77,0.97,0
4.5,7.98,0.06,0.39,0.91,0
37.39,50.55,0.68,0.5,0.79,1
